YEAR,PERMNO,STDEV,E,F,QUICK,SelectionProb,SamplingWeight
1971,19385,0.3057275122,203796000,152750000,2.8098746038,0.1146131805,8.725
1971,19510,0.4327231691,34120500,19178000,1.8255107515,0.1146131805,8.725
1971,20167,0.3353060206,160432250,36257000,1.9583618106,0.1146131805,8.725
1971,20220,0.2896784837,666693500,37547000,2.3167736442,0.1146131805,8.725
1971,20415,0.392788929,59068500,438818500,1.3786494377,0.1146131805,8.725
1971,21290,0.3859327413,455920500,44300000,2.182376904,0.1146131805,8.725
1971,21389,0.3557584293,26403125,4254500,3.1038186158,0.1146131805,8.725
1971,21434,0.6270730219,55685000,26115500,2.6632930308,0.1146131805,8.725
1971,21549,0.6862885045,4045500,22169000,1.1117057664,0.1146131805,8.725
1971,21987,0.3844026641,22352750,20201500,3.2398567242,0.1146131805,8.725
1971,22437,0.2387449059,83435625,82170000,0.5024202639,0.1146131805,8.725
1971,23085,0.3083832979,274246250,168329500,0.4821719672,0.1146131805,8.725
1971,24053,0.2430843064,163047000,61665500,0.7157954996,0.1146131805,8.725
1971,24141,0.2394334266,709060875,529975500,0.7016388443,0.1146131805,8.725
1971,24360,0.2928240666,533339000,277875000,0.619401909,0.1146131805,8.725
1971,24379,0.2037731195,177714750,133700500,1.1673424658,0.1146131805,8.725
1971,24467,0.2242340301,17656250,19226000,0.5639778408,0.1146131805,8.725
1971,24483,0.296656849,27867250,346500,4.2482080347,0.1146131805,8.725
1971,24678,0.2251647017,2610809000,88516500,2.6653555605,0.1146131805,8.725
1971,24731,0.6617763879,16956000,3741000,1.5492068381,0.1146131805,8.725
1971,25662,0.2527556749,400464000,44499500,3.1911108208,0.1146131805,8.725
1971,25937,0.3300425545,142357375,39283500,2.6972277379,0.1146131805,8.725
1971,26067,0.7072838037,54950000,196014000,1.4780801358,0.1146131805,8.725
1971,26235,0.2503980509,75390750,5381000,2.6131954612,0.1146131805,8.725
1971,26403,0.4258437018,849946500,586500,2.5657745426,0.1146131805,8.725
1971,26454,0.5015243543,106454250,111754000,2.3593231133,0.1146131805,8.725
1971,26462,0.4898105216,98456250,140318500,0.4365392974,0.1146131805,8.725
1971,26470,0.2269898118,32077500,20243000,1.6043653073,0.1146131805,8.725
1971,26585,0.2179767897,70119000,57431500,1.1127027165,0.1146131805,8.725
1971,26649,0.3976555089,105000000,0,4.0522292994,0.1146131805,8.725
1971,26809,0.2362311902,31424250,4725500,1.5937842779,0.1146131805,8.725
1971,27684,0.5774349128,85907250,33874000,4.6559173747,0.1146131805,8.725
1971,27780,0.542780679,29304000,45156000,1.8818975647,0.1146131805,8.725
1971,27983,0.3086040888,6734025000,265403000,1.8039080274,0.1146131805,8.725
1971,28337,0.7729125126,14365500,5660000,3.2512279688,0.1146131805,8.725
1971,28345,0.4781170941,125070000,78522500,1.6231152871,0.1146131805,8.725
1971,28556,0.6801954176,132786500,34522000,1.0065320013,0.1146131805,8.725
1971,28716,0.9714988961,21642750,9198500,2.6984056687,0.1146131805,8.725
1971,28740,0.6411270263,15004750,27113000,1.4624482555,0.1146131805,8.725
1971,28855,0.5142499828,8353750,14631500,1.498738929,0.1146131805,8.725
1971,28863,0.9359835368,4372500,1703500,1.9448998179,0.1146131805,8.725
1971,29022,0.1869180792,43192875,500000,3.847714363,0.1146131805,8.725
1971,29209,0.6135367775,13321500,3202500,2.1856464034,0.1146131805,8.725
1971,29655,0.7549095951,4876000,14159500,1.2551857212,0.1146131805,8.725
1971,29735,0.74329499,37005000,4286000,3.8880539499,0.1146131805,8.725
1971,30445,0.5763334636,15322000,6689000,2.6718791064,0.1146131805,8.725
1971,30816,0.7566376361,47430000,13125500,1.497464503,0.1146131805,8.725
1971,30912,0.3052551692,38740625,0,2.4688722874,0.1146131805,8.725
1971,31608,0.7376709551,1542750,7500,5.119047619,0.1146131805,8.725
1971,31712,0.752818477,8621250,750000,2.5553002954,0.1146131805,8.725
1971,31851,0.4485316627,40399500,2942500,1.9601941748,0.1146131805,8.725
1971,31974,0.530088121,12528000,36503000,1.3957500133,0.1146131805,8.725
1971,32010,0.7331634969,9110000,1637500,4.571500758,0.1146131805,8.725
1971,32053,0.7560554923,9652500,280500,2.0070788108,0.1146131805,8.725
1971,32133,0.7062903045,9823875,14912500,3.7959120149,0.1146131805,8.725
1971,32272,0.4563830411,22750500,20551000,1.4207263065,0.1146131805,8.725
1971,32619,0.3146643571,7238000,263000,3.5736111111,0.1146131805,8.725
1971,32707,0.5487903899,37950000,23004500,2.4461401689,0.1146131805,8.725
1971,32723,0.3567812957,32602500,678500,1.6681494662,0.1146131805,8.725
1971,32803,0.9742654416,11297000,6727500,1.1280430712,0.1146131805,8.725
1971,32811,0.3568152572,42773250,0,3.8144029653,0.1146131805,8.725
1971,33048,0.6247026329,3341500,741500,4.7455497382,0.1146131805,8.725
1971,33072,0.4540861628,742488000,756720000,1.8682535942,0.1146131805,8.725
1971,33275,0.6955482909,9255625,25879500,1.0851506295,0.1146131805,8.725
1971,33734,0.7053260164,3716625,6303500,1.4559786239,0.1146131805,8.725
1971,34235,0.7505671504,10842375,43064500,0.6258450741,0.1146131805,8.725
1971,34331,0.41999233,5429375,2653500,2.2727948004,0.1146131805,8.725
1971,34366,0.3616959635,29233000,5349000,3.2213672354,0.1146131805,8.725
1971,34454,0.5652998138,4590000,2565000,1.5747188002,0.1146131805,8.725
1971,34497,0.3164140392,44887500,0,5.8255279114,0.1146131805,8.725
1971,34593,0.4876056497,6020625,0,3.8354725788,0.1146131805,8.725
1971,34796,0.8008154435,26540000,23079000,0.9649316934,0.1146131805,8.725
1971,34825,0.5785615486,11110125,12972500,2.9139264169,0.1146131805,8.725
1971,34833,0.6029569209,973433000,574955000,1.5760671276,0.1146131805,8.725
1971,35107,0.6222612529,10489500,400000,2.742297934,0.1146131805,8.725
1971,35131,0.7230815727,27148250,0,2.7591660676,0.1146131805,8.725
1971,35529,0.3015626827,18468750,1600000,3.4716412286,0.1146131805,8.725
1971,35924,0.6626794914,17805500,2865000,0.128256513,0.1146131805,8.725
1971,36222,0.7289005848,150550875,45609000,2.5113787121,0.1146131805,8.725
1971,36273,0.5512231528,54967250,8671500,3.1288888889,0.1146131805,8.725
1971,36396,0.523800866,5165000,7379500,1.3127090301,0.1146131805,8.725
1971,36978,0.3384501411,30222000,13026500,2.3744305239,0.1146131805,8.725
1971,37014,0.7307461044,37824000,12030500,2.0492294963,0.1146131805,8.725
1971,37102,0.5930592671,360238500,6952000,3.6252062328,0.1146131805,8.725
1971,37276,0.6619071811,2109375,719000,4.2062663185,0.1146131805,8.725
1971,37479,0.8183765919,11759500,17741500,1.4973854199,0.1146131805,8.725
1971,37698,0.3905066906,3428750,0,5.5,0.1146131805,8.725
1971,37815,0.666296347,1695750,2677500,1.3273986152,0.1146131805,8.725
1971,37938,0.8339742303,10841000,26249000,0.8764143297,0.1146131805,8.725
1971,38033,0.2374485272,23895000,3248000,4.7036519657,0.1146131805,8.725
1971,38236,0.5872941716,708750,0,1.1072142716,0.1146131805,8.725
1971,38244,0.8845077393,10698750,0,5.4241071429,0.1146131805,8.725
1971,38527,0.4199229955,15209750,3089500,1.973016236,0.1146131805,8.725
1971,38658,0.2353837103,78741000,41653000,0.4837633452,0.1146131805,8.725
1971,38666,0.584360756,24710000,74698500,1.3467380148,0.1146131805,8.725
1971,38682,0.4048488887,374150625,2267000,2.9048734222,0.1146131805,8.725
1971,38869,0.4370812538,39204500,1580500,6.4871398182,0.1146131805,8.725
1971,38930,0.6162941149,91581000,138768500,0.6426750168,0.1146131805,8.725
1971,39044,0.6826418265,2210875,6392500,2.1626419319,0.1146131805,8.725
1971,39220,0.3914428042,19372000,2216000,2.339658444,0.1146131805,8.725
1971,39466,0.8715083747,44321000,31094500,2.1230023695,0.1146131805,8.725
1971,39538,0.386367001,582850250,87973000,1.6423976427,0.1146131805,8.725
1971,39781,0.6269034637,36189000,25796000,2.0808034579,0.1146131805,8.725
1971,39810,0.3906585181,52480000,3813000,2.9059095106,0.1146131805,8.725
1971,40045,0.6713279948,19489750,1671500,3.3397936068,0.1146131805,8.725
1971,40184,0.5097886148,19801750,10415500,1.308767167,0.1146131805,8.725
1971,40221,0.5245902,17887500,13654500,1.5512996887,0.1146131805,8.725
1971,40344,0.7090851139,51732375,6521000,0.8961319989,0.1146131805,8.725
1971,40512,0.4874040158,6982500,1107000,1.5347056008,0.1146131805,8.725
1971,40723,0.4683551487,121155750,4270000,2.6729613247,0.1146131805,8.725
1971,40731,0.2940974276,11305000,451500,2.3063486732,0.1146131805,8.725
1971,40950,0.8672216771,6526000,1938500,2.5434192673,0.1146131805,8.725
1971,40977,0.7185539893,89761750,15759500,1.6668084101,0.1146131805,8.725
1971,41187,0.2639635056,131812500,80739500,1.0495938961,0.1146131805,8.725
1971,41734,0.5028781378,28233000,47652500,2.5917048905,0.1146131805,8.725
1971,41910,0.4201616249,46817500,3061500,2.0967555995,0.1146131805,8.725
1971,42067,0.3898411173,41229000,16700000,1.6636238374,0.1146131805,8.725
1971,42286,0.4975711738,37090000,19227500,2.9181838243,0.1146131805,8.725
1971,42593,0.4721865156,15202250,2105500,3.0375268049,0.1146131805,8.725
1971,42630,0.2894293135,4752375,1589000,1.335,0.1146131805,8.725
1971,42681,0.6437861393,12217500,11577500,1.9482564679,0.1146131805,8.725
1971,42868,0.4637646855,56803500,5272000,3.4823805795,0.1146131805,8.725
1971,42999,0.7612093335,58632750,51500000,2.8538418486,0.1146131805,8.725
1971,43078,0.6489895578,23125000,1200500,1.971017293,0.1146131805,8.725
1971,43377,0.5009553902,23446500,7945000,3.2156398104,0.1146131805,8.725
1971,43430,0.8083841695,7993125,4693000,1.4319319319,0.1146131805,8.725
1971,43457,0.601287636,2516000,3315000,1.6554489974,0.1146131805,8.725
1971,43502,0.3707216735,48365625,2664000,3.4890992542,0.1146131805,8.725
1971,44097,0.3914099163,75658500,17049000,2.2750691844,0.1146131805,8.725
1971,44329,0.505612304,3044250,4133000,1.5898822166,0.1146131805,8.725
1971,44345,0.4743678828,57057000,7630000,2.3189698492,0.1146131805,8.725
1971,44361,0.3661439166,92295000,8292500,1.9911352329,0.1146131805,8.725
1971,44425,0.5859160538,11914000,0,7.7612107623,0.1146131805,8.725
1971,44468,0.3708750548,41097000,52612000,1.3382551577,0.1146131805,8.725
1971,44652,0.3635566759,110075000,9871000,1.9012942868,0.1146131805,8.725
1971,45081,0.3127435647,665988000,38741000,1.7782789472,0.1146131805,8.725
1971,45313,0.4385820557,23240000,11644500,3.7711864407,0.1146131805,8.725
1971,45321,0.4145983859,6156250,610000,2.3686534216,0.1146131805,8.725
1971,45444,0.2324158781,136582000,12265000,1.0393731097,0.1146131805,8.725
1971,45604,0.2142433867,1230571875,110966500,2.0899082442,0.1146131805,8.725
1971,45647,0.762000599,5745125,4412500,2.418128655,0.1146131805,8.725
1971,45727,0.3697814803,18200000,3762500,5.2353719884,0.1146131805,8.725
1971,45786,0.5988588349,28645500,7931500,1.5552347797,0.1146131805,8.725
1971,45962,0.4295827432,25050000,1678000,2.459268762,0.1146131805,8.725
1971,45989,0.5346358119,140553500,121481500,1.3222939618,0.1146131805,8.725
1971,46164,0.6389919982,8206625,1321500,2.2989768852,0.1146131805,8.725
1971,46228,0.7425940575,136246500,23600500,1.8618925831,0.1146131805,8.725
1971,46703,0.4261571566,392450000,83079000,1.1128145511,0.1146131805,8.725
1971,46893,0.6066825937,41551000,53629000,1.3714026053,0.1146131805,8.725
1971,46914,0.5216139744,5472000,5802500,1.6247710623,0.1146131805,8.725
1971,47132,0.8132307125,22308375,24020000,1.9054749833,0.1146131805,8.725
1971,47204,0.71416528,19140000,1718000,2.9653992395,0.1146131805,8.725
1971,47597,0.6253994854,10471500,10352500,0.5600331217,0.1146131805,8.725
1971,47837,0.3858945946,177968250,1496000,2.6503658067,0.1146131805,8.725
1971,48442,0.5747314464,20646000,1079000,2.7719438878,0.1146131805,8.725
1971,48645,0.4058284961,20204625,6786500,3.575262129,0.1146131805,8.725
1971,49277,0.655675957,1780000,5287500,1.0994144264,0.1146131805,8.725
1971,49445,0.3799815025,11865000,11159500,1.5985526708,0.1146131805,8.725
1971,49568,0.5569174037,11016000,5053000,1.1379831933,0.1146131805,8.725
1971,49912,0.7553716263,13115250,2720000,2.9942490599,0.1146131805,8.725
1971,50032,0.4012440295,72375000,4486000,1.5931006819,0.1146131805,8.725
1971,50286,0.4070651642,36938375,3444000,1.6765605325,0.1146131805,8.725
1971,50331,0.4979419687,23623125,0,2.3094213295,0.1146131805,8.725
1971,50577,0.4356690473,13351375,8184000,2.3789184464,0.1146131805,8.725
1971,50673,0.71464855,8062500,3744500,1.6253952405,0.1146131805,8.725
1971,50737,0.3321961193,158334000,12500000,2.2194895386,0.1146131805,8.725
1971,50761,0.5598706641,30502500,13406500,1.4633479818,0.1146131805,8.725
1971,50868,0.8581899177,14656250,11229500,2.0733870372,0.1146131805,8.725
1971,50876,0.202639117,3361856250,75201000,1.827272444,0.1146131805,8.725
1971,51078,0.5204151872,28900000,5634500,1.2857899195,0.1146131805,8.725
1971,51131,0.4993326584,33810875,153986000,1.1147346039,0.1146131805,8.725
1971,51297,0.6744243778,7315875,2856000,1.5735823197,0.1146131805,8.725
1971,51430,0.5232996339,7817500,2735500,1.9790856031,0.1146131805,8.725
1971,51529,0.7423223596,13770000,7088500,1.235766986,0.1146131805,8.725
1971,51609,0.9808025286,8148000,4556000,1.0897701149,0.1146131805,8.725
1971,51633,0.1757382151,53998000,24801500,0.454880393,0.1146131805,8.725
1972,10057,0.3701273429,54777000,9038000,5.2436184505,0.109229929,9.155
1972,10727,0.316130154,11212500,7054000,2.7922588099,0.109229929,9.155
1972,11762,0.209807126,749370750,102486000,2.9567518069,0.109229929,9.155
1972,12343,0.3667704048,143047125,103909000,2.419350149,0.109229929,9.155
1972,12546,0.2457009468,2394051375,346798500,2.2336604899,0.109229929,9.155
1972,12669,0.3613944874,143538000,81731500,4.6643542459,0.109229929,9.155
1972,14322,0.1656814783,15867307500,2255400000,1.5791562605,0.109229929,9.155
1972,14605,0.2740514821,143029000,0,2.7692870424,0.109229929,9.155
1972,14867,0.3468245219,52014875,101554500,3.4563950251,0.109229929,9.155
1972,15667,0.1592551721,4618810625,18005000,2.8739873861,0.109229929,9.155
1972,16029,0.2366928693,475429625,23483500,3.4683067174,0.109229929,9.155
1972,16598,0.3359263843,263879000,102718500,1.1824916441,0.109229929,9.155
1972,18825,0.2423555728,64532000,2488000,3.0127947359,0.109229929,9.155
1972,19350,0.2411763234,754912500,231553500,2.332039979,0.109229929,9.155
1972,20183,0.3201842724,412337250,17500000,3.2520614064,0.109229929,9.155
1972,20204,0.2504736862,119007500,153465500,2.4940679791,0.109229929,9.155
1972,20482,0.2652253361,871137000,64370000,2.5676717445,0.109229929,9.155
1972,20909,0.3662649822,141068500,38480000,3.0498290985,0.109229929,9.155
1972,20984,0.5123507231,604052500,520914500,1.2911488144,0.109229929,9.155
1972,21020,0.3476088303,989206250,343968000,1.044510765,0.109229929,9.155
1972,21194,0.4363526725,65916000,302042000,2.9042451729,0.109229929,9.155
1972,21397,0.3109161719,872309250,286983000,3.0782610491,0.109229929,9.155
1972,21653,0.2962489464,62819625,4467500,2.6437935514,0.109229929,9.155
1972,22138,0.2374439971,65119875,44751000,1.5735953482,0.109229929,9.155
1972,22488,0.6229771669,92288625,53201000,1.5034107443,0.109229929,9.155
1972,22998,0.4238694983,13006500,5775000,2.0583409298,0.109229929,9.155
1972,23042,0.1829468275,40621500,25045000,0.5066106512,0.109229929,9.155
1972,23085,0.2466715978,260741250,174852000,0.6134621257,0.109229929,9.155
1972,23106,0.3721467408,149613750,23720500,3.1539275457,0.109229929,9.155
1972,23536,0.2054872485,358416000,311520500,0.6031043365,0.109229929,9.155
1972,23579,0.2813494538,822524000,80197500,2.2858858249,0.109229929,9.155
1972,23835,0.1658951855,78303750,49315500,0.6942611727,0.109229929,9.155
1972,24213,0.3351139291,44790625,3326500,3.1817641229,0.109229929,9.155
1972,24299,0.1842617549,66267250,36000000,0.6576501131,0.109229929,9.155
1972,24432,0.1910175951,185878875,139760000,0.9764877574,0.109229929,9.155
1972,24694,0.4430219785,36585000,12431500,2.0564472104,0.109229929,9.155
1972,25419,0.2150058102,1163750000,114337500,1.8278789695,0.109229929,9.155
1972,26075,0.2838591513,323269125,96692500,1.4480975326,0.109229929,9.155
1972,26120,0.2730265931,211154000,0,1.7817851959,0.109229929,9.155
1972,26163,0.3910527305,124588125,144577500,0.9475425931,0.109229929,9.155
1972,26235,0.2092034363,85096000,10136500,2.1449223456,0.109229929,9.155
1972,26438,0.3198617929,2922671000,0,5.5362797648,0.109229929,9.155
1972,26526,0.2951499915,51383750,18802500,1.7858027899,0.109229929,9.155
1972,26622,0.2673459744,613852000,21245000,2.9695174391,0.109229929,9.155
1972,26673,0.4756989583,146799000,126033000,1.9006482936,0.109229929,9.155
1972,26841,0.5137468764,40504000,2319500,3.9416489487,0.109229929,9.155
1972,27238,0.4285143076,31944000,19546000,2.2457719676,0.109229929,9.155
1972,27270,0.2177267449,69498000,51732000,2.1369095276,0.109229929,9.155
1972,27406,0.5248137777,27623750,18944000,1.5814631636,0.109229929,9.155
1972,27457,0.2248836951,178823500,0,2.7473074768,0.109229929,9.155
1972,27481,0.199331461,33633000,9917000,1.7220092025,0.109229929,9.155
1972,27860,0.4665090193,164980000,18636000,4.4909563688,0.109229929,9.155
1972,27924,0.2487666634,148482750,12230500,3.1133629333,0.109229929,9.155
1972,27983,0.1947435294,9775762500,320234000,1.7205718404,0.109229929,9.155
1972,28636,0.3286666014,41496000,10615500,2.6049943953,0.109229929,9.155
1972,28804,0.6788002856,15828750,7275500,0.3602691113,0.109229929,9.155
1972,28855,0.4631552878,14856500,19535500,1.4602117336,0.109229929,9.155
1972,30269,0.9503501589,5013500,19000,44.485436893,0.109229929,9.155
1972,30277,0.4941204298,58236000,125000,8.5047961631,0.109229929,9.155
1972,30816,0.6273159924,32327750,14683000,1.0649909615,0.109229929,9.155
1972,31691,0.7092140071,1923750,324500,7.8723404255,0.109229929,9.155
1972,31800,0.604420317,10818375,19497500,0.6574582111,0.109229929,9.155
1972,32037,0.3367489574,22329000,4024000,3.4864486986,0.109229929,9.155
1972,32125,0.4803307247,44322000,7229000,2.4365060713,0.109229929,9.155
1972,32790,0.1196936046,183270000,0,15.172839506,0.109229929,9.155
1972,33005,0.5335303569,19519500,7025500,4.3114909782,0.109229929,9.155
1972,33283,0.3970962172,222005000,41480000,1.8768354693,0.109229929,9.155
1972,33566,0.4800593202,30591125,11861500,2.0065813091,0.109229929,9.155
1972,33574,0.4221750391,72475000,1025000,3.2629052797,0.109229929,9.155
1972,33769,0.7901226813,7650000,1692500,3.1010174419,0.109229929,9.155
1972,33988,0.2938225041,4200000,1052500,2.6770538244,0.109229929,9.155
1972,34083,0.603846387,17109500,20877000,1.5739192825,0.109229929,9.155
1972,34139,0.5215228101,6776000,2980000,2.6227561447,0.109229929,9.155
1972,34147,0.4703177115,38976000,1334000,2.8169452638,0.109229929,9.155
1972,34438,0.5940877616,6317500,5254000,2.6114936069,0.109229929,9.155
1972,34630,0.452739296,15125000,126500,12.472727273,0.109229929,9.155
1972,34868,0.2047510953,21725000,5259500,4.7516043199,0.109229929,9.155
1972,34905,0.8651234915,5804500,1680500,2.200143472,0.109229929,9.155
1972,34913,0.3947125266,6452500,359000,3.9642560266,0.109229929,9.155
1972,35238,0.2297862177,38016750,2204500,2.2652792413,0.109229929,9.155
1972,35334,0.7350146331,5319000,33442000,1.6923603761,0.109229929,9.155
1972,35430,0.270695291,6480000,400000,4.1565080613,0.109229929,9.155
1972,35975,0.5368669849,10954125,3646500,1.8271197625,0.109229929,9.155
1972,36273,0.3839489849,37729000,9070500,3.5141206675,0.109229929,9.155
1972,36337,0.7096650367,3556000,2215500,2.4402756508,0.109229929,9.155
1972,36417,0.3756999109,8922500,3110000,1.7068965517,0.109229929,9.155
1972,36804,0.4979971503,2377500,21000,3.0348162476,0.109229929,9.155
1972,37532,0.793738545,9310000,1540000,2.874025974,0.109229929,9.155
1972,38260,0.5616288101,21051500,3418500,1.8740440846,0.109229929,9.155
1972,38324,0.2611315225,943380000,68267500,1.772244249,0.109229929,9.155
1972,38674,0.3623855324,20343750,17745000,2.3326467559,0.109229929,9.155
1972,38797,0.6972097696,30467750,7426500,1.4476962025,0.109229929,9.155
1972,38869,0.4447812585,34359000,1033000,6.8059217197,0.109229929,9.155
1972,39036,0.1657238925,172549000,16148000,2.4802595998,0.109229929,9.155
1972,39052,0.5708480523,12260500,3985000,4.0515625,0.109229929,9.155
1972,39220,0.3912779399,45705000,1016000,2.6374462455,0.109229929,9.155
1972,39466,0.4918815802,44237375,42706500,1.9515495988,0.109229929,9.155
1972,39765,0.2914922837,158908750,7779000,2.4780666318,0.109229929,9.155
1972,39917,0.2430632081,2842848750,454583500,1.2085000572,0.109229929,9.155
1972,40125,0.5938012926,109527000,55763000,1.2796767279,0.109229929,9.155
1972,40512,0.5960372073,9559375,1335000,1.4310691629,0.109229929,9.155
1972,40571,0.1766534517,119806500,6880000,4.089548495,0.109229929,9.155
1972,40782,0.2637809771,18465000,16952500,0.4468192954,0.109229929,9.155
1972,40897,0.2960319257,64426500,4138500,3.6068743287,0.109229929,9.155
1972,41136,0.4541707492,25740000,6760500,3.8842036977,0.109229929,9.155
1972,41152,0.4250921638,92421000,35171000,2.0803362988,0.109229929,9.155
1972,41347,0.3935815519,34860750,10396000,2.1846112744,0.109229929,9.155
1972,42171,0.2685327875,50249500,11949000,2.3236397749,0.109229929,9.155
1972,42358,0.6420909313,18275625,750000,0.772264631,0.109229929,9.155
1972,42550,0.3427347297,250192750,134528000,4.2174472609,0.109229929,9.155
1972,42577,0.5944131512,6247500,1236000,3.3085,0.109229929,9.155
1972,42630,0.2956591507,4545750,2014500,1.4678859447,0.109229929,9.155
1972,42999,0.5774637559,71993250,32350000,5.6004079205,0.109229929,9.155
1972,43190,0.4363320929,39690000,2181500,0.8080003884,0.109229929,9.155
1972,43238,0.1795548126,426288750,15406500,3.6125370188,0.109229929,9.155
1972,43350,0.2339997024,241230000,32127500,2.3976791101,0.109229929,9.155
1972,43481,0.3521225353,64521625,20997000,2.5874902355,0.109229929,9.155
1972,43668,0.2721364634,152517750,45787500,1.3996911992,0.109229929,9.155
1972,43860,0.3938848374,110474000,13766500,3.3025898724,0.109229929,9.155
1972,43895,0.430410075,7705250,1767500,2.1510023431,0.109229929,9.155
1972,44070,0.5052555636,54298750,10265500,2.4714370965,0.109229929,9.155
1972,44206,0.1990420006,546872250,510934500,0.4684479637,0.109229929,9.155
1972,44214,0.6259111519,18891000,11237500,1.1330093593,0.109229929,9.155
1972,44273,0.3257013812,242514000,31777500,2.6366592048,0.109229929,9.155
1972,44302,0.7670536104,4112500,636000,2.5786272806,0.109229929,9.155
1972,44310,0.5849079262,34161750,41475500,0.7095663639,0.109229929,9.155
1972,44468,0.3106555369,33973875,53236500,1.5345504012,0.109229929,9.155
1972,44476,0.6580044901,10127000,17395000,3.0123248354,0.109229929,9.155
1972,45022,0.689429151,8633625,6462000,0.9982309235,0.109229929,9.155
1972,45145,0.4057865694,37217250,0,4.4403730846,0.109229929,9.155
1972,45196,0.6216823878,3600000,67000,6.9978021978,0.109229929,9.155
1972,45217,0.2638179533,357140000,79976000,2.1066256554,0.109229929,9.155
1972,45372,0.9292494777,8651250,10505500,1.1866136285,0.109229929,9.155
1972,45479,0.3307601451,57009125,9073500,1.8157012295,0.109229929,9.155
1972,45487,0.2297758723,194136250,20706500,2.044265757,0.109229929,9.155
1972,45567,0.5131324129,47994000,77648500,1.6696495714,0.109229929,9.155
1972,45700,0.2566714885,58450000,6258000,3.6745115453,0.109229929,9.155
1972,45954,0.282759156,65415000,6428000,1.6968793829,0.109229929,9.155
1972,45962,0.313936524,17535000,1500000,2.6076388889,0.109229929,9.155
1972,45989,0.4411199283,144277875,150044500,1.4479733791,0.109229929,9.155
1972,46033,0.5626134457,19125500,21558500,2.0664918319,0.109229929,9.155
1972,46121,0.9312641131,7021000,12430000,1.9031148481,0.109229929,9.155
1972,46172,0.6741330461,9562000,260000,3.870259481,0.109229929,9.155
1972,46324,0.392211109,74739250,4505500,1.202686109,0.109229929,9.155
1972,46455,0.5157858213,26286000,1707500,1.7754733995,0.109229929,9.155
1972,46500,0.6124442749,10500000,1042500,3.3945188018,0.109229929,9.155
1972,46703,0.2935320266,706788750,98181500,1.1707772408,0.109229929,9.155
1972,46877,0.1989190926,276307500,3093500,3.0943472956,0.109229929,9.155
1972,47028,0.5067391768,22021750,598500,1.6361780318,0.109229929,9.155
1972,47108,0.6551456514,9524000,10572500,1.4877863176,0.109229929,9.155
1972,47175,0.4634117568,5309750,6163000,2.2228996464,0.109229929,9.155
1972,47327,0.2449285367,141930000,2748500,2.8264013386,0.109229929,9.155
1972,47407,0.5672362781,7108750,2207000,3.7397759104,0.109229929,9.155
1972,47677,0.2117338302,156127500,72383000,0.5564055168,0.109229929,9.155
1972,47781,0.4204292818,82782000,2741500,1.8570446735,0.109229929,9.155
1972,48063,0.4474707702,72000000,12549000,1.3347417579,0.109229929,9.155
1972,48098,0.851853927,15754125,29992000,1.1818752804,0.109229929,9.155
1972,48346,0.6463991314,4275000,2390000,1.7310311284,0.109229929,9.155
1972,48426,0.3800673435,12737250,3190000,2.0733524355,0.109229929,9.155
1972,48717,0.5499044103,8694000,7038500,1.7646027013,0.109229929,9.155
1972,48741,0.5396930498,15964750,6582000,1.0621649367,0.109229929,9.155
1972,49058,0.4896194489,26482500,176000,4.863565081,0.109229929,9.155
1972,49074,0.3312647651,115552500,118567000,1.1363838498,0.109229929,9.155
1972,49082,0.5169792508,5922500,92500,7.0136157337,0.109229929,9.155
